P0100,Circuit de débit massique d'air Dysfonctionnement
P0101,Circuit de débit massique d'air Problème de plage/performance
P0102,Circuit de débit massique d'air Signal d'entrée faible
P0103,Circuit de débit massique d'air Signal d'entrée élevé
P0104,Circuit de débit massique d'air Intermittent
P0105,Circuit de pression absolue du collecteur/pression barométrique Dysfonctionnement
P0106,Circuit de pression absolue du collecteur/pression barométrique Problème de plage/performance
P0107,Circuit de pression absolue du collecteur/pression barométrique Signal d'entrée faible
P0108,Circuit de pression absolue du collecteur/pression barométrique Signal d'entrée élevé
P0109,Circuit de pression absolue du collecteur/pression barométrique Intermittent
P0110,Circuit capteur température d'air admis Dysfonctionnement
P0111,Circuit de température d'air d'admission Problème de plage/performance
P0112,Circuit de température d'air d'admission Signal d'entrée faible
P0113,Circuit de température d'air d'admission Signal d'entrée élevé
P0114,Circuit de température d'air d'admission Intermittent
P0115,Circuit de température du liquide de refroidissement Dysfonctionnement
P0116,Circuit de température du liquide de refroidissement Problème de plage/performance
P0117,Circuit de température du liquide de refroidissement Signal d'entrée faible
P0118,Circuit de température du liquide de refroidissement Signal d'entrée élevé
P0119,Circuit de température du liquide de refroidissement Intermittent
P0120,Circuit capteur/interrupteur de position du papillon A Dysfonctionnement
P0121,Circuit capteur/interrupteur de position du papillon A Problème de plage/performance
P0122,Circuit capteur/interrupteur de position du papillon A Signal d'entrée faible
P0123,Circuit capteur/interrupteur de position du papillon A Signal d'entrée élevé
P0124,Circuit capteur/interrupteur de position du papillon A Intermittent
P0125,Insuffisant Coolant Température pour le contrôle de carburant en boucle fermée;
P0126,TCE Temps excessif pour le contrôle de carburant en boucle fermée
P0128,Insuffisant Coolant Température pour un fonctionnement stable
P0130,Thermostat de refroidissement Dysfonctionnement
P0131,Circuit capteur O2 Dysfonctionnement (Banc 1 Capteur 1)
P0132,Circuit capteur O2 Tension faible (Banc 1 Capteur 1)
P0133,Circuit capteur O2 Tension élevée (Banc 1 Capteur 1)
P0134,Circuit capteur O2 Réponse lente (Banc 1 Capteur 1)
P0135,Circuit capteur O2 Aucune activité détectée (Banc 1 Capteur 1)
P0136,Circuit de chauffage du capteur O2 Dysfonctionnement (Banc 1 Capteur 1)
P0137,Circuit capteur O2 Dysfonctionnement (Banc 1 Capteur 2)
P0138,Circuit capteur O2 Tension faible (Banc 1 Capteur 2)
P0139,Circuit capteur O2 Tension élevée (Banc 1 Capteur 2)
P0140,Circuit capteur O2 Réponse lente (Banc 1 Capteur 2)
P0141,Circuit capteur O2 Aucune activité détectée (Banc 1 Capteur 2)
P0142,Circuit de chauffage du capteur O2 Dysfonctionnement (Banc 1 Capteur 2)
P0143,Circuit capteur O2 Dysfonctionnement (Banc 1 Capteur 3)
P0144,Circuit capteur O2 Tension faible (Banc 1 Capteur 3)
P0145,Circuit capteur O2 Tension élevée (Banc 1 Capteur 3)
P0146,Circuit capteur O2 Réponse lente (Banc 1 Capteur 3)
P0147,Circuit capteur O2 Aucune activité détectée (Banc 1 Capteur 3)
